,fair_brier_skill,fair_rps_skill,lat,lon,horizon,dataset
12,-0.07624943931992156,0.24178982809659855,20.0,68.0,15,IFS
13,-0.10215085558739756,0.2725722909776709,20.0,88.0,15,IFS
14,0.1889362585396963,0.3738041014814515,24.0,76.0,15,IFS
15,0.1150847231807014,0.35518771689181017,24.0,80.0,15,IFS
16,0.20865342477166704,0.4931198842611252,24.0,72.0,15,IFS
17,0.06447339069310898,0.10116989052103653,24.0,84.0,15,IFS
18,0.147705973209329,0.5038921033648698,24.0,68.0,15,IFS
19,0.055186803312009425,0.31601104668347,24.0,88.0,15,IFS
20,-0.3143164760932369,-0.07930043047988189,24.0,92.0,15,IFS
21,-0.6513704062917118,-0.29241847728768633,24.0,96.0,15,IFS
22,0.30774952654898347,0.5054880685440191,28.0,76.0,15,IFS
23,0.13485721066422907,0.23942231687782034,28.0,80.0,15,IFS
24,0.2126512124677793,0.40498946965321103,28.0,72.0,15,IFS
25,-0.01492796965719867,0.14725840038444027,28.0,84.0,15,IFS
26,0.09585275146638439,0.48729458880816845,28.0,68.0,15,IFS
27,-0.3026627221358795,0.06757383124382388,28.0,88.0,15,IFS
28,0.1474795238958232,0.4197223381860494,28.0,92.0,15,IFS
29,0.20115131379944295,0.3994087483562102,28.0,96.0,15,IFS
30,0.01920301735757568,0.22779822423796137,32.0,76.0,15,IFS
31,-0.023748560493529025,0.19731012102633827,32.0,80.0,15,IFS
32,-0.45101292880794874,0.2822522341855749,32.0,72.0,15,IFS
33,-0.39870359055968385,-0.1042097417197847,36.0,76.0,15,IFS
34,-0.8530307223913645,-1.7915291921576797,36.0,80.0,15,IFS
35,-0.27510043590489897,0.11727718096993278,36.0,72.0,15,IFS
0,-0.44747046974444915,-0.09351596569183163,8.0,76.0,30,FuXi-S2S
1,-1.182449602786673,-1.0160151826209267,8.0,80.0,30,FuXi-S2S
2,-0.14231015552724635,-0.10196827971357725,12.0,76.0,30,FuXi-S2S
3,-0.09202172066479619,-0.05045635591793518,12.0,80.0,30,FuXi-S2S
4,0.028196247528987528,0.07266126532005823,16.0,76.0,30,FuXi-S2S
5,0.03747195625068922,0.29037075782301147,16.0,80.0,30,FuXi-S2S
6,-0.13417519422327562,-0.14528028849797225,16.0,72.0,30,FuXi-S2S
7,-0.18802937970295375,0.14393251592872214,16.0,84.0,30,FuXi-S2S
8,0.015394686490019627,0.2696059204776956,20.0,76.0,30,FuXi-S2S
9,0.022045280844998016,0.2703666283108366,20.0,80.0,30,FuXi-S2S
10,-0.009520846760447288,0.23792599177357843,20.0,72.0,30,FuXi-S2S
11,-0.10398533598006177,0.039965659130047015,20.0,84.0,30,FuXi-S2S
12,-0.4880544228070691,-0.2257404169117696,20.0,68.0,30,FuXi-S2S
13,-0.45732975861617886,-0.0034564105005807644,20.0,88.0,30,FuXi-S2S
14,0.11862502773972872,0.275491229727852,24.0,76.0,30,FuXi-S2S
15,0.03659268641774438,0.2352502437508157,24.0,80.0,30,FuXi-S2S
16,0.08240407983691933,0.21861501089114455,24.0,72.0,30,FuXi-S2S
17,-0.1442877986100657,-0.0836464112282782,24.0,84.0,30,FuXi-S2S
18,-0.12684562964365154,0.10586615729547699,24.0,68.0,30,FuXi-S2S
19,-0.21011688664423933,0.0451376620935916,24.0,88.0,30,FuXi-S2S
20,-0.44034044030499486,-0.228148877285828,24.0,92.0,30,FuXi-S2S
21,-0.6850654469605559,-0.4978869437043181,24.0,96.0,30,FuXi-S2S
22,0.26303461827607655,0.4646732995334232,28.0,76.0,30,FuXi-S2S
23,-0.03634008326030069,0.19679610648474632,28.0,80.0,30,FuXi-S2S
24,-0.04367388275741613,-0.16766566119259818,28.0,72.0,30,FuXi-S2S
25,-0.0538061457225949,0.09798385249929853,28.0,84.0,30,FuXi-S2S
26,-0.08236646029290817,0.16247660169511502,28.0,68.0,30,FuXi-S2S
27,-0.47626217448985253,-0.44614724465277567,28.0,88.0,30,FuXi-S2S
28,0.04520968608508369,0.25826426218659293,28.0,92.0,30,FuXi-S2S
29,-0.16698571092536074,-0.00495747773024835,28.0,96.0,30,FuXi-S2S
30,-0.10575680585937564,-0.019853290997467354,32.0,76.0,30,FuXi-S2S
31,-0.23720694680990428,-0.412864181206394,32.0,80.0,30,FuXi-S2S
32,-0.43029861507971345,0.19512571812831636,32.0,72.0,30,FuXi-S2S
33,-0.6721300742756258,-0.8733870660557548,36.0,76.0,30,FuXi-S2S
34,-1.0279770293863986,-2.9997775175468013,36.0,80.0,30,FuXi-S2S
35,-0.5244855075065655,-0.47170134120978613,36.0,72.0,30,FuXi-S2S
0,-0.26410634743462613,0.017536414166728687,8.0,76.0,30,NGCM
1,-2.0748565430054358,-2.71683850946929,8.0,80.0,30,NGCM
2,-0.0224781786502275,0.08945823471685055,12.0,76.0,30,NGCM
3,-0.01579426125883243,0.12759783527673496,12.0,80.0,30,NGCM
4,0.004483799664355526,0.14460413959268825,16.0,76.0,30,NGCM
5,-0.020306482342809185,0.1800088382441979,16.0,80.0,30,NGCM
6,-0.09075176221396575,0.11498890153752717,16.0,72.0,30,NGCM
7,-0.06227864437783692,0.0394249361815463,16.0,84.0,30,NGCM
8,-0.04166842779380242,0.17323649982127454,20.0,76.0,30,NGCM
9,0.010640031034380604,0.19734955855283243,20.0,80.0,30,NGCM
10,0.03974430923886951,0.29138844868687697,20.0,72.0,30,NGCM
11,-0.09709021460614253,0.01090187610420934,20.0,84.0,30,NGCM
12,-0.06960553647521639,0.14219214442359907,20.0,68.0,30,NGCM
13,-0.30910841968295255,-0.06343387041821158,20.0,88.0,30,NGCM
14,0.13480982184889811,0.2938409406399767,24.0,76.0,30,NGCM
15,0.0851306748539804,0.2208817234244922,24.0,80.0,30,NGCM
16,0.11457085228037844,0.3231675844872812,24.0,72.0,30,NGCM
17,-0.08059676090775958,-0.12197521292480062,24.0,84.0,30,NGCM
18,-0.007235356989053754,0.2627491142629338,24.0,68.0,30,NGCM
19,-0.32651744729770127,-0.23117141857929568,24.0,88.0,30,NGCM
20,-0.2918511620200792,-0.15994202353410447,24.0,92.0,30,NGCM
21,-0.3551054561865805,-0.23372482917156234,24.0,96.0,30,NGCM
22,0.09206524983090658,0.21582554802941234,28.0,76.0,30,NGCM
23,0.08708343539714936,0.22880672128693813,28.0,80.0,30,NGCM
24,0.13894068656858327,0.3189571378835855,28.0,72.0,30,NGCM
25,0.07038741424465278,0.19478738171149212,28.0,84.0,30,NGCM
26,-0.004433464256875075,0.25560183391169056,28.0,68.0,30,NGCM
27,-0.6263551279177706,-0.78662013475774,28.0,88.0,30,NGCM
28,0.05557149008168605,0.13327138627046053,28.0,92.0,30,NGCM
29,-0.6641245126401629,-1.5908219971992805,28.0,96.0,30,NGCM
30,-0.1602093728848546,-0.10291223720699438,32.0,76.0,30,NGCM
31,-0.2774633471816683,-0.48196394299723955,32.0,80.0,30,NGCM
32,-0.10368141424180322,0.33817361713546723,32.0,72.0,30,NGCM
33,-0.7199591445366236,-0.925247611613935,36.0,76.0,30,NGCM
34,-1.044881856361091,-3.067868374284915,36.0,80.0,30,NGCM
35,-0.44596752728240574,-0.3622108822894574,36.0,72.0,30,NGCM
0,-0.44672673828419507,-0.13338875028283503,8.0,76.0,30,IFS
1,-1.909694963457166,-2.358184401605159,8.0,80.0,30,IFS
2,-0.1588431748086383,-0.08581050941207957,12.0,76.0,30,IFS
3,-0.025381678089384296,0.08365337890147895,12.0,80.0,30,IFS
4,-0.061467286789118614,0.09454174596472598,16.0,76.0,30,IFS
5,0.15927085732699886,0.3795566983206399,16.0,80.0,30,IFS
6,-0.17879093024063342,-0.05435443466030532,16.0,72.0,30,IFS
7,0.03401320620571968,0.1868229339848012,16.0,84.0,30,IFS
8,0.011937606606644446,0.21652531338010206,20.0,76.0,30,IFS
9,0.06527484955227036,0.24094518811972576,20.0,80.0,30,IFS
10,0.04236462916749695,0.2712494331069901,20.0,72.0,30,IFS
11,0.06177176411839369,0.24225848886804047,20.0,84.0,30,IFS
12,-0.12481245437603339,0.06162946322566398,20.0,68.0,30,IFS
13,-0.10036239792039603,0.14856456370486637,20.0,88.0,30,IFS
14,0.12310105673735605,0.31615756477589185,24.0,76.0,30,IFS
15,0.07885196273049944,0.22441367776172072,24.0,80.0,30,IFS
16,0.09458521952488175,0.31601520970033403,24.0,72.0,30,IFS
17,0.024158887970429976,0.008372352676558448,24.0,84.0,30,IFS
18,0.0005451917877604684,0.30833357174404363,24.0,68.0,30,IFS
19,-0.0061997098528099315,0.14503857686251131,24.0,88.0,30,IFS
20,-0.41095739373384177,-0.2821940836468684,24.0,92.0,30,IFS
21,-0.6488459724572557,-0.506125229635507,24.0,96.0,30,IFS
22,0.15148528766327252,0.2718498959062444,28.0,76.0,30,IFS
23,0.06695649876658982,0.16062900308301375,28.0,80.0,30,IFS
24,0.043548607972921816,0.16830313987396328,28.0,72.0,30,IFS
25,-0.03275057812228033,-0.004956977853100009,28.0,84.0,30,IFS
26,-0.07917572184428279,0.19311990821185476,28.0,68.0,30,IFS
27,-0.26639803817609375,-0.2218421518433613,28.0,88.0,30,IFS
28,0.04301304843095133,0.22430682618196074,28.0,92.0,30,IFS
29,0.02970707102947867,0.1948543134424816,28.0,96.0,30,IFS
30,-0.031142665744280373,0.10561083665762272,32.0,76.0,30,IFS
31,-0.05704500138333679,-0.04317319702620037,32.0,80.0,30,IFS
32,-0.35621188327736486,0.11652578294196603,32.0,72.0,30,IFS
33,-0.6269505830809867,-0.7679103908712348,36.0,76.0,30,IFS
34,-1.044881856361091,-3.067868374284915,36.0,80.0,30,IFS
35,-0.34049002468120104,-0.21228364884477235,36.0,72.0,30,IFS
