,lat,lon,Mean MAE,model,horizon,Miss Rate,False Alarm Rate
5,16.0,76.0,2.657142857142857,AIFS,15,12.5,20.5
6,16.0,80.0,2.0277777777777777,AIFS,15,3.8,8.7
7,16.0,84.0,5.233333333333333,AIFS,15,25.900000000000002,28.000000000000004
8,20.0,68.0,4.422222222222222,AIFS,15,33.300000000000004,14.299999999999999
9,20.0,72.0,3.338888888888889,AIFS,15,28.000000000000004,14.299999999999999
10,20.0,76.0,3.4507936507936505,AIFS,15,8.0,19.6
11,20.0,80.0,3.9,AIFS,15,4.0,23.7
12,20.0,84.0,3.3325396825396822,AIFS,15,4.0,22.8
13,20.0,88.0,7.2023809523809526,AIFS,15,18.5,43.3
14,24.0,68.0,6.25,AIFS,15,74.1,6.9
15,24.0,72.0,3.647222222222222,AIFS,15,34.599999999999994,15.0
16,24.0,76.0,5.8238095238095235,AIFS,15,20.0,28.199999999999996
17,24.0,80.0,3.146825396825397,AIFS,15,8.0,14.799999999999999
18,24.0,84.0,4.493650793650793,AIFS,15,3.8,31.0
19,24.0,88.0,9.757738095238095,AIFS,15,0.0,53.2
20,24.0,92.0,2.1750000000000003,AIFS,15,4.2,13.900000000000002
21,24.0,96.0,5.510714285714286,AIFS,15,0.0,41.5
22,28.0,68.0,3.9666666666666672,AIFS,15,52.0,4.9
23,28.0,72.0,2.1666666666666665,AIFS,15,77.8,4.2
24,28.0,76.0,4.777380952380953,AIFS,15,16.0,16.2
25,28.0,80.0,4.178174603174603,AIFS,15,3.8,23.9
26,28.0,84.0,6.726190476190477,AIFS,15,0.0,36.7
27,28.0,88.0,6.8,AIFS,15,64.0,14.000000000000002
28,28.0,92.0,3.002380952380953,AIFS,15,12.5,21.4
29,28.0,96.0,3.54047619047619,AIFS,15,32.0,21.7
30,32.0,72.0,24.358581233581237,AIFS,15,0.0,46.400000000000006
31,32.0,76.0,9.48015873015873,AIFS,15,45.0,14.099999999999998
32,32.0,80.0,6.766666666666666,AIFS,15,68.0,8.5
33,36.0,72.0,16.380000000000003,AIFS,15,68.2,15.7
34,36.0,76.0,30.333333333333332,AIFS,15,95.19999999999999,3.5999999999999996
0,8.0,76.0,5.541666666666667,FuXi,15,44.0,21.7
1,8.0,80.0,31.31613756613757,FuXi,15,47.099999999999994,28.7
2,12.0,76.0,6.6,FuXi,15,45.800000000000004,23.5
3,12.0,80.0,8.15,FuXi,15,70.8,7.1
4,16.0,72.0,5.5,FuXi,15,54.2,18.4
5,16.0,76.0,3.5833333333333335,FuXi,15,33.300000000000004,22.2
6,16.0,80.0,1.34,FuXi,15,46.2,4.3
7,16.0,84.0,5.061111111111111,FuXi,15,44.4,18.8
8,20.0,68.0,1.3333333333333333,FuXi,15,75.0,0.0
9,20.0,72.0,7.0,FuXi,15,88.0,4.3999999999999995
10,20.0,76.0,2.6194444444444445,FuXi,15,24.0,11.799999999999999
11,20.0,80.0,2.2583333333333333,FuXi,15,16.0,9.1
12,20.0,84.0,2.091666666666667,FuXi,15,4.0,7.5
13,20.0,88.0,5.516666666666667,FuXi,15,22.2,15.5
14,24.0,68.0,4.555555555555555,FuXi,15,81.5,2.8000000000000003
15,24.0,72.0,0.6666666666666666,FuXi,15,73.1,0.0
16,24.0,76.0,3.8666666666666663,FuXi,15,76.0,7.7
17,24.0,80.0,4.136111111111111,FuXi,15,32.0,11.3
18,24.0,84.0,2.242063492063492,FuXi,15,15.4,12.7
19,24.0,88.0,4.870436507936508,FuXi,15,3.8,27.3
20,24.0,92.0,2.880555555555555,FuXi,15,12.5,17.9
21,24.0,96.0,5.162103174603175,FuXi,15,0.0,44.4
22,28.0,68.0,1.5,FuXi,15,72.0,0.0
23,28.0,72.0,12.0,FuXi,15,96.3,2.1
24,28.0,76.0,4.4,FuXi,15,48.0,5.3
25,28.0,80.0,3.1888888888888887,FuXi,15,23.1,7.6
26,28.0,84.0,4.077777777777778,FuXi,15,12.0,16.900000000000002
27,28.0,88.0,2.0,FuXi,15,96.0,0.0
28,28.0,92.0,2.966666666666667,FuXi,15,33.300000000000004,15.0
29,28.0,96.0,3.1,FuXi,15,44.0,19.1
30,32.0,72.0,18.973333333333333,FuXi,15,31.8,16.400000000000002
31,32.0,76.0,16.25,FuXi,15,95.0,3.6999999999999997
32,32.0,80.0,,FuXi,15,100.0,0.0
33,36.0,72.0,0.0,FuXi,15,95.5,0.0
34,36.0,76.0,,FuXi,15,100.0,0.0
0,8.0,76.0,5.355555555555555,Graphcast,15,32.0,25.6
1,8.0,80.0,28.242469810890867,Graphcast,15,5.8999999999999995,60.9
2,12.0,76.0,6.757539682539683,Graphcast,15,37.5,27.700000000000003
3,12.0,80.0,9.388888888888888,Graphcast,15,8.3,42.4
4,16.0,72.0,4.281746031746032,Graphcast,15,33.300000000000004,15.6
5,16.0,76.0,4.041666666666667,Graphcast,15,8.3,30.2
6,16.0,80.0,5.4259259259259265,Graphcast,15,3.8,36.0
7,16.0,84.0,6.117592592592593,Graphcast,15,3.6999999999999997,43.6
8,20.0,68.0,3.4722222222222228,Graphcast,15,45.800000000000004,11.1
9,20.0,72.0,3.097222222222222,Graphcast,15,20.0,14.000000000000002
10,20.0,76.0,5.7763888888888895,Graphcast,15,4.0,36.0
11,20.0,80.0,5.29265873015873,Graphcast,15,0.0,37.7
12,20.0,84.0,5.035714285714286,Graphcast,15,4.0,36.199999999999996
13,20.0,88.0,6.877777777777777,Graphcast,15,18.5,37.1
14,24.0,68.0,3.675,Graphcast,15,63.0,9.9
15,24.0,72.0,3.1180555555555554,Graphcast,15,30.8,13.3
16,24.0,76.0,5.002380952380952,Graphcast,15,12.0,26.1
17,24.0,80.0,1.988888888888889,Graphcast,15,4.0,10.299999999999999
18,24.0,84.0,5.122023809523809,Graphcast,15,0.0,32.4
19,24.0,88.0,9.142087542087543,Graphcast,15,0.0,47.9
20,24.0,92.0,2.4166666666666665,Graphcast,15,4.2,13.900000000000002
21,24.0,96.0,5.596825396825397,Graphcast,15,0.0,44.4
22,28.0,68.0,4.913333333333333,Graphcast,15,40.0,7.000000000000001
23,28.0,72.0,3.5,Graphcast,15,77.8,4.2
24,28.0,76.0,4.95,Graphcast,15,8.0,19.2
25,28.0,80.0,5.362433862433863,Graphcast,15,7.7,26.8
26,28.0,84.0,7.221825396825397,Graphcast,15,0.0,35.5
27,28.0,88.0,6.2,Graphcast,15,60.0,13.600000000000001
28,28.0,92.0,3.367063492063492,Graphcast,15,4.2,29.5
29,28.0,96.0,3.798611111111111,Graphcast,15,4.0,30.4
30,32.0,72.0,25.60686535686536,Graphcast,15,0.0,48.199999999999996
31,32.0,76.0,10.13510101010101,Graphcast,15,15.0,20.7
32,32.0,80.0,5.0,Graphcast,15,68.0,6.3
33,36.0,72.0,16.625,Graphcast,15,81.8,3.8
34,36.0,76.0,12.333333333333334,Graphcast,15,90.5,3.5000000000000004
0,8.0,76.0,2.907407407407407,GenCast,15,0.0,20.0
1,8.0,80.0,28.932067932067937,GenCast,15,5.8999999999999995,46.400000000000006
2,12.0,76.0,4.097222222222222,GenCast,15,20.8,20.0
3,12.0,80.0,7.947619047619049,GenCast,15,12.5,33.900000000000006
4,16.0,72.0,3.816666666666667,GenCast,15,33.300000000000004,18.4
5,16.0,76.0,1.9253968253968254,GenCast,15,8.3,17.1
6,16.0,80.0,2.6234126984126984,GenCast,15,7.7,18.8
7,16.0,84.0,4.763888888888889,GenCast,15,18.5,32.7
8,20.0,68.0,1.5,GenCast,15,75.0,3.8
9,20.0,72.0,1.6199999999999999,GenCast,15,64.0,6.7
10,20.0,76.0,2.430555555555556,GenCast,15,28.000000000000004,12.2
11,20.0,80.0,2.9055555555555554,GenCast,15,4.0,14.499999999999998
12,20.0,84.0,2.543253968253968,GenCast,15,0.0,16.400000000000002
13,20.0,88.0,4.45925925925926,GenCast,15,18.5,22.8
14,24.0,68.0,3.25,GenCast,15,77.8,1.4000000000000001
15,24.0,72.0,2.142857142857143,GenCast,15,65.4,5.3
16,24.0,76.0,3.6523809523809527,GenCast,15,40.0,10.6
17,24.0,80.0,2.055555555555556,GenCast,15,20.0,5.1
18,24.0,84.0,3.0277777777777772,GenCast,15,3.8,18.2
19,24.0,88.0,7.7139790764790765,GenCast,15,0.0,45.800000000000004
20,24.0,92.0,1.55,GenCast,15,0.0,8.6
21,24.0,96.0,4.5494047619047615,GenCast,15,0.0,38.0
22,28.0,68.0,2.8291666666666666,GenCast,15,40.0,4.9
23,28.0,72.0,3.0,GenCast,15,96.3,0.0
24,28.0,76.0,5.976190476190477,GenCast,15,32.0,17.299999999999997
25,28.0,80.0,2.891666666666667,GenCast,15,11.5,13.4
26,28.0,84.0,4.692460317460317,GenCast,15,0.0,25.0
27,28.0,88.0,6.0,GenCast,15,68.0,9.5
28,28.0,92.0,2.5793650793650795,GenCast,15,4.2,27.3
29,28.0,96.0,2.977777777777778,GenCast,15,8.0,26.1
30,32.0,72.0,21.783465608465608,GenCast,15,0.0,42.9
31,32.0,76.0,9.625,GenCast,15,35.0,19.0
32,32.0,80.0,8.25,GenCast,15,64.0,7.6
33,36.0,72.0,23.2,GenCast,15,86.4,8.6
34,36.0,76.0,23.0,GenCast,15,100.0,2.4
0,8.0,76.0,0.8333333333333334,FuXi S2S,15,0.0,0.0
1,8.0,80.0,33.214285714285715,FuXi S2S,15,100.0,40.9
2,12.0,76.0,2.722222222222222,FuXi S2S,15,0.0,25.0
3,12.0,80.0,16.875,FuXi S2S,15,50.0,23.5
4,16.0,72.0,0.75,FuXi S2S,15,33.300000000000004,0.0
5,16.0,76.0,2.444444444444444,FuXi S2S,15,16.7,18.2
6,16.0,80.0,5.5555555555555545,FuXi S2S,15,28.599999999999998,30.8
7,16.0,84.0,5.611111111111111,FuXi S2S,15,16.7,28.599999999999998
8,20.0,68.0,6.0,FuXi S2S,15,66.7,7.7
9,20.0,72.0,6.0,FuXi S2S,15,50.0,23.1
10,20.0,76.0,1.5,FuXi S2S,15,16.7,8.3
11,20.0,80.0,3.0,FuXi S2S,15,16.7,7.7
12,20.0,84.0,2.388888888888889,FuXi S2S,15,0.0,7.7
13,20.0,88.0,4.0,FuXi S2S,15,16.7,33.300000000000004
14,24.0,68.0,6.0,FuXi S2S,15,83.3,5.0
15,24.0,72.0,,FuXi S2S,15,100.0,0.0
16,24.0,76.0,5.333333333333333,FuXi S2S,15,57.099999999999994,11.799999999999999
17,24.0,80.0,2.888888888888889,FuXi S2S,15,0.0,12.5
18,24.0,84.0,3.3666666666666667,FuXi S2S,15,0.0,20.0
19,24.0,88.0,7.866666666666667,FuXi S2S,15,0.0,36.8
20,24.0,92.0,1.8333333333333333,FuXi S2S,15,16.7,0.0
21,24.0,96.0,4.166666666666667,FuXi S2S,15,0.0,30.8
22,28.0,68.0,,FuXi S2S,15,100.0,0.0
23,28.0,72.0,,FuXi S2S,15,100.0,0.0
24,28.0,76.0,6.222222222222221,FuXi S2S,15,0.0,13.0
25,28.0,80.0,3.1111111111111107,FuXi S2S,15,0.0,17.599999999999998
26,28.0,84.0,2.944444444444444,FuXi S2S,15,0.0,13.3
27,28.0,88.0,6.0,FuXi S2S,15,83.3,8.3
28,28.0,92.0,3.5,FuXi S2S,15,16.7,23.1
29,28.0,96.0,3.444444444444444,FuXi S2S,15,16.7,30.8
30,32.0,72.0,23.29444444444444,FuXi S2S,15,0.0,25.0
31,32.0,76.0,18.0,FuXi S2S,15,50.0,24.0
32,32.0,80.0,10.0,FuXi S2S,15,100.0,4.8
33,36.0,72.0,,FuXi S2S,15,100.0,0.0
34,36.0,76.0,,FuXi S2S,15,100.0,0.0
0,8.0,76.0,3.522222222222222,NGCM,15,0.0,33.300000000000004
1,8.0,80.0,27.55595238095238,NGCM,15,11.799999999999999,61.199999999999996
2,12.0,76.0,4.247222222222223,NGCM,15,0.0,31.8
3,12.0,80.0,6.325925925925926,NGCM,15,20.8,30.5
4,16.0,72.0,3.180555555555556,NGCM,15,45.800000000000004,14.899999999999999
5,16.0,76.0,2.3564814814814814,NGCM,15,0.0,24.4
6,16.0,80.0,3.498015873015872,NGCM,15,3.8,29.4
7,16.0,84.0,4.569444444444445,NGCM,15,11.1,29.2
8,20.0,68.0,2.1555555555555554,NGCM,15,45.800000000000004,5.8999999999999995
9,20.0,72.0,3.04,NGCM,15,56.00000000000001,10.6
10,20.0,76.0,2.683333333333333,NGCM,15,20.0,16.0
11,20.0,80.0,2.4277777777777776,NGCM,15,4.0,15.5
12,20.0,84.0,3.1559523809523813,NGCM,15,0.0,24.099999999999998
13,20.0,88.0,6.662179487179487,NGCM,15,7.3999999999999995,46.0
14,24.0,68.0,2.75,NGCM,15,77.8,1.4000000000000001
15,24.0,72.0,3.885714285714286,NGCM,15,57.699999999999996,12.9
16,24.0,76.0,3.5039682539682544,NGCM,15,40.0,11.899999999999999
17,24.0,80.0,2.316666666666667,NGCM,15,24.0,8.3
18,24.0,84.0,3.5992063492063493,NGCM,15,3.8,25.4
19,24.0,88.0,10.30591168091168,NGCM,15,0.0,57.699999999999996
20,24.0,92.0,1.2583333333333335,NGCM,15,0.0,3.1
21,24.0,96.0,4.620833333333334,NGCM,15,0.0,41.199999999999996
22,28.0,68.0,2.277777777777778,NGCM,15,72.0,2.0
23,28.0,72.0,1.5,NGCM,15,74.1,2.1
24,28.0,76.0,6.232323232323232,NGCM,15,20.0,20.3
25,28.0,80.0,3.151851851851852,NGCM,15,7.7,12.3
26,28.0,84.0,2.102777777777778,NGCM,15,4.0,7.6
27,28.0,88.0,5.0,NGCM,15,96.0,2.6
28,28.0,92.0,3.5333333333333328,NGCM,15,54.2,15.2
29,28.0,96.0,4.0,NGCM,15,88.0,4.7
30,32.0,72.0,19.395833333333332,NGCM,15,0.0,33.6
31,32.0,76.0,9.322222222222221,NGCM,15,55.00000000000001,16.5
32,32.0,80.0,5.75,NGCM,15,88.0,2.6
33,36.0,72.0,,NGCM,15,100.0,0.0
34,36.0,76.0,,NGCM,15,100.0,0.0
0,8.0,76.0,4.5,Climatology,30,16.0,33.300000000000004
1,8.0,80.0,30.5,Climatology,30,87.2,6.7
2,12.0,76.0,5.333333333333333,Climatology,30,18.0,47.099999999999994
3,12.0,80.0,11.666666666666666,Climatology,30,41.199999999999996,35.099999999999994
4,16.0,72.0,4.166666666666667,Climatology,30,12.0,33.300000000000004
5,16.0,76.0,4.833333333333333,Climatology,30,15.7,30.8
6,16.0,80.0,6.0,Climatology,30,19.6,41.4
7,16.0,84.0,8.666666666666666,Climatology,30,27.500000000000004,63.2
8,20.0,68.0,10.666666666666666,Climatology,30,36.0,42.9
9,20.0,72.0,6.666666666666667,Climatology,30,23.5,45.2
10,20.0,76.0,8.166666666666666,Climatology,30,25.5,57.099999999999994
11,20.0,80.0,4.5,Climatology,30,13.700000000000001,27.6
12,20.0,84.0,4.0,Climatology,30,11.5,27.6
13,20.0,88.0,7.333333333333333,Climatology,30,26.900000000000002,43.3
14,24.0,68.0,15.833333333333334,Climatology,30,53.800000000000004,27.3
15,24.0,72.0,9.0,Climatology,30,29.4,38.3
16,24.0,76.0,2.6666666666666665,Climatology,30,4.1000000000000005,0.0
17,24.0,80.0,6.833333333333333,Climatology,30,21.2,41.3
18,24.0,84.0,6.666666666666667,Climatology,30,26.400000000000002,38.1
19,24.0,88.0,9.166666666666666,Climatology,30,28.299999999999997,43.8
20,24.0,92.0,1.1666666666666667,Climatology,30,5.8999999999999995,0.0
21,24.0,96.0,4.0,Climatology,30,13.200000000000001,47.4
22,28.0,68.0,13.4,Climatology,30,54.0,18.4
23,28.0,72.0,16.0,Climatology,30,62.7,31.2
24,28.0,76.0,7.833333333333333,Climatology,30,27.500000000000004,30.4
25,28.0,80.0,4.166666666666667,Climatology,30,10.0,13.200000000000001
26,28.0,84.0,6.666666666666667,Climatology,30,26.400000000000002,30.0
27,28.0,88.0,3.0,Climatology,30,7.8,30.8
28,28.0,92.0,3.5,Climatology,30,10.0,28.599999999999998
29,28.0,96.0,4.5,Climatology,30,17.599999999999998,54.2
30,32.0,72.0,29.0,Climatology,30,72.1,28.299999999999997
31,32.0,76.0,16.5,Climatology,30,33.300000000000004,31.7
32,32.0,80.0,9.666666666666666,Climatology,30,30.0,31.4
33,36.0,72.0,16.666666666666668,Climatology,30,39.1,25.0
34,36.0,76.0,15.0,Climatology,30,31.1,20.7
0,8.0,76.0,5.65,IFS,30,0.0,64.3
1,8.0,80.0,39.25285714285714,IFS,30,3.2,74.1
2,12.0,76.0,6.5200000000000005,IFS,30,0.0,53.300000000000004
3,12.0,80.0,13.963333333333333,IFS,30,4.7,53.300000000000004
4,16.0,72.0,5.153333333333333,IFS,30,14.6,38.9
5,16.0,76.0,4.85,IFS,30,4.7,36.4
6,16.0,80.0,5.946666666666667,IFS,30,7.000000000000001,40.0
7,16.0,84.0,7.775714285714285,IFS,30,7.000000000000001,55.60000000000001
8,20.0,68.0,5.0,IFS,30,59.5,5.6000000000000005
9,20.0,72.0,4.733333333333333,IFS,30,31.0,31.6
10,20.0,76.0,6.609523809523809,IFS,30,14.299999999999999,50.0
11,20.0,80.0,4.128571428571429,IFS,30,2.4,30.4
12,20.0,84.0,3.2542857142857144,IFS,30,2.3,30.4
13,20.0,88.0,8.784285714285716,IFS,30,9.3,61.5
14,24.0,68.0,8.988095238095237,IFS,30,48.8,20.0
15,24.0,72.0,7.99,IFS,30,37.2,35.3
16,24.0,76.0,5.536666666666667,IFS,30,4.9,19.400000000000002
17,24.0,80.0,3.9333333333333336,IFS,30,11.600000000000001,25.0
18,24.0,84.0,6.135714285714285,IFS,30,2.3,36.7
19,24.0,88.0,12.466666666666667,IFS,30,0.0,73.3
20,24.0,92.0,1.5100000000000002,IFS,30,0.0,0.0
21,24.0,96.0,5.7299999999999995,IFS,30,0.0,66.7
22,28.0,68.0,7.0,IFS,30,53.7,9.4
23,28.0,72.0,13.533333333333331,IFS,30,69.8,39.1
24,28.0,76.0,7.796666666666667,IFS,30,11.600000000000001,27.500000000000004
25,28.0,80.0,7.083333333333334,IFS,30,2.4,32.4
26,28.0,84.0,7.76,IFS,30,0.0,44.1
27,28.0,88.0,10.676666666666666,IFS,30,48.8,57.699999999999996
28,28.0,92.0,2.9514285714285715,IFS,30,0.0,46.7
29,28.0,96.0,2.8214285714285716,IFS,30,2.3,50.0
30,32.0,72.0,32.35,IFS,30,0.0,35.3
31,32.0,76.0,15.797142857142859,IFS,30,27.0,34.1
32,32.0,80.0,9.243636363636364,IFS,30,21.4,38.6
33,36.0,72.0,30.5,IFS,30,97.39999999999999,4.3
34,36.0,76.0,,IFS,30,100.0,0.0
0,8.0,76.0,4.152777777777778,AIFS,30,8.0,58.8
1,8.0,80.0,36.65555555555556,AIFS,30,10.299999999999999,61.5
2,12.0,76.0,4.638888888888888,AIFS,30,10.0,52.400000000000006
3,12.0,80.0,10.027777777777779,AIFS,30,21.6,43.3
4,16.0,72.0,3.9472222222222224,AIFS,30,14.000000000000002,27.800000000000004
5,16.0,76.0,4.097222222222222,AIFS,30,9.8,50.0
6,16.0,80.0,4.902777777777778,AIFS,30,5.8999999999999995,46.2
7,16.0,84.0,8.368253968253969,AIFS,30,7.8,67.9
8,20.0,68.0,8.566666666666668,AIFS,30,26.0,40.6
9,20.0,72.0,5.580555555555556,AIFS,30,23.5,41.699999999999996
10,20.0,76.0,5.458333333333333,AIFS,30,11.799999999999999,42.3
11,20.0,80.0,5.777777777777778,AIFS,30,5.8999999999999995,36.7
12,20.0,84.0,6.050000000000001,AIFS,30,3.8,48.4
13,20.0,88.0,9.448412698412698,AIFS,30,7.7,56.699999999999996
14,24.0,68.0,7.55,AIFS,30,55.800000000000004,16.3
15,24.0,72.0,7.962037037037038,AIFS,30,19.6,35.9
16,24.0,76.0,6.594444444444444,AIFS,30,14.299999999999999,28.199999999999996
17,24.0,80.0,6.133333333333333,AIFS,30,11.5,30.3
18,24.0,84.0,8.626388888888888,AIFS,30,3.8,52.300000000000004
19,24.0,88.0,15.002777777777778,AIFS,30,0.0,62.9
20,24.0,92.0,2.441666666666667,AIFS,30,3.9,12.5
21,24.0,96.0,7.5,AIFS,30,0.0,72.7
22,28.0,68.0,10.25,AIFS,30,60.0,9.3
23,28.0,72.0,12.208333333333334,AIFS,30,66.7,31.0
24,28.0,76.0,9.886111111111111,AIFS,30,21.6,28.299999999999997
25,28.0,80.0,6.544444444444444,AIFS,30,8.0,37.5
26,28.0,84.0,10.151587301587302,AIFS,30,0.0,57.9
27,28.0,88.0,8.397222222222222,AIFS,30,33.300000000000004,58.3
28,28.0,92.0,4.8388888888888895,AIFS,30,4.0,57.099999999999994
29,28.0,96.0,5.546031746031747,AIFS,30,3.9,64.0
30,32.0,72.0,37.769444444444446,AIFS,30,0.0,39.2
31,32.0,76.0,12.314754689754691,AIFS,30,37.8,37.9
32,32.0,80.0,15.022222222222222,AIFS,30,52.0,28.1
33,36.0,72.0,17.277777777777775,AIFS,30,63.0,25.900000000000002
34,36.0,76.0,29.5,AIFS,30,93.30000000000001,1.7000000000000002
0,8.0,76.0,9.349206349206348,FuXi,30,50.0,45.0
1,8.0,80.0,40.28333333333334,FuXi,30,56.39999999999999,50.0
2,12.0,76.0,12.464285714285714,FuXi,30,40.0,46.2
3,12.0,80.0,14.43611111111111,FuXi,30,54.900000000000006,57.9
4,16.0,72.0,9.727777777777778,FuXi,30,36.0,48.1
5,16.0,76.0,7.8,FuXi,30,25.5,50.0
6,16.0,80.0,9.296296296296296,FuXi,30,17.599999999999998,64.7
7,16.0,84.0,7.067460317460317,FuXi,30,7.8,64.7
8,20.0,68.0,10.519444444444444,FuXi,30,32.0,42.9
9,20.0,72.0,8.47,FuXi,30,49.0,50.0
10,20.0,76.0,7.391203703703703,FuXi,30,17.599999999999998,74.3
11,20.0,80.0,4.55138888888889,FuXi,30,9.8,32.1
12,20.0,84.0,3.6960317460317462,FuXi,30,5.800000000000001,20.0
13,20.0,88.0,10.083333333333334,FuXi,30,34.599999999999994,39.4
14,24.0,68.0,14.411111111111111,FuXi,30,53.800000000000004,27.800000000000004
15,24.0,72.0,11.994285714285713,FuXi,30,45.1,35.6
16,24.0,76.0,8.064761904761905,FuXi,30,32.7,32.7
17,24.0,80.0,3.9880952380952377,FuXi,30,32.7,28.1
18,24.0,84.0,4.569444444444445,FuXi,30,20.8,22.2
19,24.0,88.0,11.125,FuXi,30,17.0,33.300000000000004
20,24.0,92.0,2.6027777777777774,FuXi,30,9.8,12.5
21,24.0,96.0,7.805555555555556,FuXi,30,1.9,73.9
22,28.0,68.0,10.716666666666669,FuXi,30,62.0,15.9
23,28.0,72.0,18.616666666666667,FuXi,30,64.7,43.6
24,28.0,76.0,9.505555555555555,FuXi,30,41.199999999999996,26.400000000000002
25,28.0,80.0,6.5055555555555555,FuXi,30,16.0,25.0
26,28.0,84.0,5.625,FuXi,30,11.3,25.6
27,28.0,88.0,21.75,FuXi,30,88.2,29.4
